ndc,rxcui,name,query_name,cohort,storage_class,storage_min_c,storage_max_c,humidity_max_pct,base_daily,stockout_prone
00093104801,861007,metformin hydrochloride 500 MG Oral Tablet,metformin 500 MG Oral Tablet,flat,crt,15.0,25.0,60.0,120,False
00093111310,314076,lisinopril 10 MG Oral Tablet,lisinopril 10 MG Oral Tablet,flat,crt,15.0,25.0,60.0,90,False
00378520905,197361,amlodipine 5 MG Oral Tablet,amlodipine 5 MG Oral Tablet,flat,crt,15.0,25.0,60.0,85,False
00093505910,617310,atorvastatin 20 MG Oral Tablet,atorvastatin 20 MG Oral Tablet,flat,crt,15.0,25.0,60.0,100,False
00378220377,859747,rosuvastatin calcium 10 MG Oral Tablet,rosuvastatin 10 MG Oral Tablet,flat,crt,15.0,25.0,60.0,60,False
00378180304,966221,levothyroxine sodium 0.05 MG Oral Tablet,levothyroxine sodium 0.05 MG Oral Tablet,flat,crt,15.0,25.0,60.0,70,False
00093521156,198051,omeprazole 20 MG Delayed Release Oral Capsule,omeprazole 20 MG Delayed Release Oral Capsule,flat,crt,15.0,25.0,60.0,95,False
00378668910,314200,pantoprazole 40 MG Delayed Release Oral Tablet,pantoprazole 40 MG Delayed Release Oral Tablet,flat,crt,15.0,25.0,60.0,80,False
00113019400,310273,famotidine 20 MG Oral Tablet,famotidine 20 MG Oral Tablet,flat,crt,15.0,25.0,60.0,50,False
00378418701,312941,sertraline 50 MG Oral Tablet,sertraline 50 MG Oral Tablet,flat,crt,15.0,25.0,60.0,55,False
00143980801,349332,escitalopram 10 MG Oral Tablet,escitalopram 10 MG Oral Tablet,flat,crt,15.0,25.0,60.0,50,False
00185008501,310385,fluoxetine 20 MG Oral Capsule,fluoxetine 20 MG Oral Capsule,flat,crt,15.0,25.0,60.0,45,False
00054022120,312743,quetiapine 100 MG Oral Tablet,quetiapine 100 MG Oral Tablet,flat,crt,15.0,25.0,60.0,30,False
00378545410,314154,olanzapine 10 MG Oral Tablet,olanzapine 10 MG Oral Tablet,flat,crt,15.0,25.0,60.0,25,False
00093342601,197901,lorazepam 1 MG Oral Tablet,lorazepam 1 MG Oral Tablet,flat,crt,15.0,25.0,60.0,35,False
00228202910,308048,alprazolam 0.5 MG Oral Tablet,alprazolam 0.5 MG Oral Tablet,flat,crt,15.0,25.0,60.0,30,False
00378542701,310431,gabapentin 300 MG Oral Capsule,gabapentin 300 MG Oral Capsule,flat,crt,15.0,25.0,60.0,65,False
00228285809,483450,pregabalin 75 MG Oral Capsule,pregabalin 75 MG Oral Capsule,flat,crt,15.0,25.0,60.0,40,False
00172208360,310798,hydrochlorothiazide 25 MG Oral Tablet,hydrochlorothiazide 25 MG Oral Tablet,flat,crt,15.0,25.0,60.0,55,False
00054429925,313988,furosemide 40 MG Oral Tablet,furosemide 40 MG Oral Tablet,flat,crt,15.0,25.0,60.0,70,False
00378214601,313096,spironolactone 25 MG Oral Tablet,spironolactone 25 MG Oral Tablet,flat,crt,15.0,25.0,60.0,40,False
00378003201,866514,metoprolol tartrate 50 MG Oral Tablet,metoprolol tartrate 50 MG Oral Tablet,flat,crt,15.0,25.0,60.0,85,False
00093729501,200032,carvedilol 12.5 MG Oral Tablet,carvedilol 12.5 MG Oral Tablet,flat,crt,15.0,25.0,60.0,45,False
00054012422,979492,losartan potassium 50 MG Oral Tablet,losartan potassium 50 MG Oral Tablet,flat,crt,15.0,25.0,60.0,75,False
00378581377,349199,valsartan 80 MG Oral Tablet,valsartan 80 MG Oral Tablet,flat,crt,15.0,25.0,60.0,40,False
00093731405,309362,clopidogrel 75 MG Oral Tablet,clopidogrel 75 MG Oral Tablet,flat,crt,15.0,25.0,60.0,60,False
