rxcui,name
562508,Amoxicillin/Clavulanate 875mg
203155,Propofol 1% Emulsion
309090,Ceftriaxone 1g
745679,Salbutamol 100mcg Inhaler
1049640,Norepinephrine 4mg/4mL
248656,Azithromycin 250mg
1157459,Insulin Glargine 100U/mL
311704,Midazolam 5mg/mL
198440,Paracetamol 1g IV
1361574,Heparin Sodium 5000IU/mL
204541,Carmellose Sodium 0.5% Eye Drops
246461,aspirin 100 MG Oral Tablet
861007,metformin hydrochloride 500 MG Oral Tablet
617310,atorvastatin 20 MG Oral Tablet
311700,midazolam 1 MG/ML Injectable Solution
